# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2215
#@/user_id	stella
hko 	点	c=11 d=2.62125 t=2215
hkqv 	战争	c=1 d=0.0746459 t=2215
htg 	睡	c=2 d=0.697676 t=2215
hxd 	砦	c=1 d=0.0285814 t=2215
hxjf 	此时	c=1 d=0.0403566 t=2215
iaw 	洪	c=1 d=0.118837 t=2215
ick 	治	c=1 d=0.332871 t=2215
ie 	肖	c=1 d=0.99005 t=2215
ifiv 	污染	c=1 d=0.0420036 t=2215
ifjf 	溝	c=1 d=0.108609 t=2215
ifk 	洁	c=1 d=0.99005 t=2215
ige 	清	c=1 d=0.0153752 t=2215
igss 	清楚	c=1 d=0.329559 t=2215
ih 	小	c=12 d=2.35907 t=2215
ihip 	小学	c=1 d=0.631284 t=2215
ihpt 	小额	c=1 d=1 t=2215
ii 	水	c=1 d=0.0788664 t=2215
iii 	水	c=1 d=0.0590129 t=2215
ijdh 	温存	c=1 d=0.282239 t=2215
ilil 	渐渐	c=1 d=0.203926 t=2215
im 	没	c=11 d=1.79596 t=2215
imde 	没有	c=1 d=0.0617291 t=2215
imgk 	没事	c=1 d=0.0389686 t=2215
ip 	学	c=1 d=0.280832 t=2215
ipb 	学	c=1 d=0.856415 t=2215
ipbp 	学院	c=1 d=0.0953692 t=2215
ipnu 	学习	c=2 d=0.787131 t=2215
ipsy 	学术	c=1 d=0.0948935 t=2215
ipwk 	溶	c=1 d=0.208045 t=2215
iqc 	沟	c=1 d=0.105399 t=2215
iqn 	泡	c=1 d=0.198891 t=2215
iqpl 	辉	c=2 d=1.70606 t=2215
iqud 	光头	c=1 d=0.0303487 t=2215
iqv 	兆	c=2 d=0.878095 t=2215
isrg 	酒后	c=2 d=1.19818 t=2215
it 	少	c=3 d=1.75639 t=2215
itfq 	洗	c=1 d=0.0368832 t=2215
itik 	洗澡	c=1 d=0.0365162 t=2215
itol 	潘	c=1 d=0.839457 t=2215
itrb 	海报	c=1 d=0.697676 t=2215
ivjf 	当时	c=2 d=0.189303 t=2215
ivrh 	当年	c=1 d=0.315058 t=2215
ivw 	梁	c=1 d=0.985112 t=2215
iwyg 	淮	c=1 d=0.0898153 t=2215
iyc 	流	c=1 d=0.0184997 t=2215
iyth 	洲	c=1 d=0.937067 t=2215
iyxj 	浪费	c=1 d=0.0997588 t=2215
j 	是	c=25 d=4.59023 t=2215
jat 	晓	c=1 d=0.000139144 t=2215
jbc 	最	c=2 d=0.78283 t=2215
jbrg 	最后	c=1 d=0.0672055 t=2215
jbrp 	最近	c=1 d=0.588605 t=2215
jcx 	紧	c=2 d=0.880119 t=2215
je 	明	c=2 d=1.72219 t=2215
jegd 	明天	c=4 d=2.07374 t=2215
jerr 	明白	c=1 d=0.100259 t=2215
jf hw 	时具	c=-1 d=0 t=2215
jfd 	里	c=5 d=0.681825 t=2215
jfuj 	时间	c=5 d=0.498786 t=2215
jfwh 	时候	c=7 d=1.52734 t=2215
jghu 	是	c=1 d=0.0115047 t=2215
jghy 	虾	c=1 d=0.0317456 t=2215
jh 	早	c=1 d=0.0547488 t=2215
jhhh 	早上	c=1 d=0.0584257 t=2215
jhk 	申	c=1 d=0.0617291 t=2215
jjdl 	日历	c=1 d=0.0780817 t=2215
jjj 	晶	c=1 d=0.99005 t=2215
jkvf 	暴跳如雷	c=1 d=0.416862 t=2215
jnpy 	电视	c=2 d=0.0947475 t=2215
jnyt 	电话	c=1 d=0.126186 t=2215
jov 	一蝼	c=-1 d=0 t=2215
jq 	晚	c=1 d=0.0500366 t=2215
jqhh 	晚上	c=7 d=0.921951 t=2215
jqwf 	晚会	c=1 d=0.537944 t=2215
jtgd 	昨天	c=3 d=0.150475 t=2215
jyiu 	景	c=1 d=0.99005 t=2215
k 	中	c=7 d=1.3969 t=2215
kb 	啊	c=1 d=0.451581 t=2215
kbsk 	啊	c=2 d=0.66361 t=2215
kc 	吧	c=6 d=1.12998 t=2215
kcn 	吧	c=8 d=1.5886 t=2215
kdyc 	顺序	c=1 d=0.0151463 t=2215
kff 	哇	c=1 d=0.985112 t=2215
kgd 	吴	c=1 d=0.873716 t=2215
khhi 	跑步	c=3 d=0.155673 t=2215
khn 	忠	c=1 d=0.860708 t=2215
khny 	中心	c=1 d=0.036334 t=2215
khq 	跑	c=3 d=0.272041 t=2215
kht 	路	c=2 d=0.980199 t=2215
khtf 	中午	c=1 d=0.0294518 t=2215
khud 	跟着	c=2 d=0.705447 t=2215
khv 	跟	c=4 d=0.167769 t=2215
khw 	趴	c=1 d=0.180866 t=2215
khx 	嘴	c=1 d=0.189191 t=2215
kjq 	喝	c=2 d=0.621885 t=2215
kjqd 	虽然	c=3 d=0.583949 t=2215
kkdk 	器	c=2 d=0.42207 t=2215
kkkk 	口	c=4 d=1.30365 t=2215
kkyg 	口语	c=1 d=0.271173 t=2215
klj 	别	c=1 d=0.802519 t=2215
kmth 	喘息	c=1 d=0.140858 t=2215
kmy 	唄	c=1 d=0.97531 t=2215
kn 	叫	c=1 d=0.923116 t=2215
knh 	叫	c=4 d=0.912096 t=2215
kpta 	咤	c=2 d=1.97516 t=2215
kr 	听	c=3 d=1.50715 t=2215
kryu 	听说	c=1 d=0.272532 t=2215
kth 	咱	c=1 d=0.0224829 t=2215
kthf 	咋	c=2 d=0.0641367 t=2215
ktm 	响	c=1 d=0.131336 t=2215
ktn 	吃	c=4 d=0.384366 t=2215
ktqn 	吃饭	c=6 d=1.90279 t=2215
ktu 	呼	c=2 d=1.99501 t=2215
ktwg 	咱俩	c=2 d=0.167775 t=2215
kv 	哪	c=1 d=0.00763509 t=2215
kvfb 	哪	c=1 d=0.0845849 t=2215
kvwh 	哪个	c=2 d=0.719175 t=2215
kwde 	只有	c=1 d=0.308819 t=2215
kwfk 	啥	c=3 d=0.503358 t=2215
l 	国	c=2 d=0.985112 t=2215
lccb 	轻柔	c=1 d=0.324652 t=2215
ldjs 	因果	c=1 d=0.0150707 t=2215
ldyl 	因为	c=2 d=0.729789 t=2215
lfn 	转	c=1 d=0.0086517 t=2215
lfo 	黑	c=1 d=0.0507928 t=2215
lfof 	墨	c=1 d=0.869358 t=2215
lfq 	园	c=2 d=0.131094 t=2215
lh 	四	c=1 d=0.0539337 t=2215
lk 	加	c=1 d=0.891366 t=2215
lkd 	回	c=4 d=1.39014 t=2215
lkfc 	回去	c=2 d=0.834386 t=2215
lkgk 	回事	c=1 d=0.0317456 t=2215
lkgo 	回来	c=3 d=0.100246 t=2215
lkiu 	圆润	c=1 d=0.162026 t=2215
lkm 	贺	c=1 d=0.918512 t=2215
lkmi 	圆	c=1 d=0.211189 t=2215
lkpe 	回家	c=1 d=0.0327124 t=2215
lktj 	回复	c=1 d=1 t=2215
ll 	男	c=1 d=0.882497 t=2215
lnkh 	思路	c=1 d=0.597501 t=2215
lp 	边	c=1 d=0.0536647 t=2215
lqwr 	软件	c=2 d=0.571071 t=2215
lt 	力	c=1 d=0.0409665 t=2215
ltyu 	图谱	c=1 d=0.869358 t=2215
lud 	圈	c=1 d=0.380983 t=2215
lwgj 	輸	c=1 d=1 t=2215
m 	同	c=2 d=0.930761 t=2215
mafw 	嵌	c=1 d=0.985112 t=2215
mfd 	冉	c=1 d=0.891366 t=2215
mfk 	周	c=1 d=0.382893 t=2215
mgcb 	赋予	c=1 d=0.164474 t=2215
mgjf 	同时	c=1 d=0.157237 t=2215
mhn 	冂	c=1 d=0.900325 t=2215
mhya 	幅度	c=1 d=0.246597 t=2215
mmm 	山	c=1 d=0.0270518 t=2215
mqb 	见	c=1 d=0.0273237 t=2215
mqfp 	见过	c=1 d=0.085435 t=2215
mqhh 	网上	c=1 d=0.56836 t=2215
mqj 	刚	c=4 d=0.940282 t=2215
mqq 	网	c=1 d=0.193013 t=2215
mt 	几	c=2 d=0.666751 t=2215
mtgd 	几天	c=1 d=0.782705 t=2215
mttu 	几乎	c=1 d=0.594521 t=2215
mwny 	内心	c=1 d=0.162838 t=2215
nal 	懵	c=1 d=0.995012 t=2215
natr 	异物	c=1 d=0.814647 t=2215
nawe 	臀	c=1 d=0.109154 t=2215
ngjg 	恒	c=1 d=0.985112 t=2215
ngww 	情人	c=1 d=0.0934807 t=2215
nhad 	收藏	c=1 d=0.425283 t=2215
nhgc 	收到	c=1 d=0.0550232 t=2215
nhrw 	收拾	c=2 d=0.900011 t=2215
nht 	收	c=1 d=0.11475 t=2215
njnj 	慢慢	c=3 d=0.747613 t=2215
nmnn 	恺	c=1 d=0.955997 t=2215
nnh 	书	c=1 d=0.995012 t=2215
nnll 	乙	c=1 d=0.895834 t=2215
nnll 	乛	c=1 d=0.891366 t=2215
nnxc 	已经	c=2 d=0.602418 t=2215
npwi 	屄	c=6 d=1.69782 t=2215
nr 	怕	c=1 d=0.818731 t=2215
ntc 	发	c=1 d=0.126818 t=2215
ntf 	尾	c=2 d=0.379766 t=2215
ntg 	性	c=1 d=0.209088 t=2215
ntgm 	发现	c=1 d=0.123687 t=2215
ntto 	发愁	c=1 d=0.579842 t=2215
nuww 	习俗	c=1 d=0.733447 t=2215
nxem 	屁股	c=3 d=0.591899 t=2215
nxhv 	屁眼	c=1 d=0.0930145 t=2215
ny 	心	c=1 d=0.265803 t=2215
nyey 	以及	c=1 d=0.594521 t=2215
nyu 	尽	c=1 d=0.995012 t=2215
o 	为	c=2 d=1.39343 t=2215
odm 	烦	c=1 d=0.082085 t=2215
oit 	炒	c=1 d=0.0315873 t=2215
ovip 	数学	c=1 d=0.0706512 t=2215
ovrn 	数据	c=1 d=0.0366992 t=2215
p 	这	c=16 d=2.8661 t=2215
pb 	字	c=4 d=1 t=2215
pbtw 	字符	c=1 d=0.891366 t=2215
pdnr 	害怕	c=1 d=0.265803 t=2215
pe 	家	c=3 d=1.24535 t=2215
pfq 	完	c=3 d=0.838327 t=2215
pfwg 	完全	c=1 d=0.0376283 t=2215
pg 	定	c=1 d=0.0148464 t=2215
pgn 	写	c=1 d=0.491644 t=2215
pgxk 	富强	c=2 d=0.0216662 t=2215
pgy 	宝	c=2 d=1.91202 t=2215
pprg 	之后	c=3 d=1.01337 t=2215
ppue 	之前	c=1 d=0.0642483 t=2215
ps 	宁	c=3 d=2.41327 t=2215
puhc 	被	c=2 d=0.571614 t=2215
pupg 	寝室	c=1 d=0.0555762 t=2215
puy 	裤	c=1 d=0.174645 t=2215
pvrd 	安排	c=1 d=0.0403566 t=2215
pw 	空	c=1 d=1 t=2215
pwnt 	突发	c=1 d=0.67032 t=2215
pyds 	神奇	c=1 d=0.392586 t=2215
pyg 	福	c=4 d=0.0525355 t=2215
pygl 	福	c=1 d=1 t=2215
pyhi 	视频	c=1 d=0.722527 t=2215
pyjh 	神	c=1 d=0.0816756 t=2215
pyt 	祚	c=1 d=0.97531 t=2215
pytj 	福利	c=1 d=0.0293049 t=2215
q 	我	c=58 d=5.74433 t=2215
qa 	氏	c=1 d=0.0426384 t=2215
qdrg 	然后	c=1 d=0.404542 t=2215
qg 	钱	c=1 d=0.010889 t=2215
qk 	名	c=1 d=0.0495388 t=2215
qkd 	句	c=1 d=0.71177 t=2215
qkpb 	名字	c=3 d=0.564937 t=2215
qkq 	免	c=2 d=0.445147 t=2215
qkqq 	够	c=1 d=0.0599047 t=2215
qkrl 	钟摆	c=1 d=0.491644 t=2215
qnqu 	馋	c=1 d=0.826959 t=2215
